"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2901","Create course","LMS system","Thu Feb 19 04:58:09 UTC 2026","passed","Thu Feb 19 04:58:12 UTC 2026","Courses","Courses","",""
"","2470","User login with wrong email or password","LMS system","Thu Feb 19 04:57:37 UTC 2026","passed","Thu Feb 19 04:57:40 UTC 2026","Authorization","Authentication","",""
"","2323","User login with wrong email or password","LMS system","Thu Feb 19 04:57:34 UTC 2026","passed","Thu Feb 19 04:57:36 UTC 2026","Authorization","Authentication","",""
"","3224","Edit course","LMS system","Thu Feb 19 04:58:13 UTC 2026","passed","Thu Feb 19 04:58:16 UTC 2026","Courses","Courses","",""
"","1359","Check displaying of empty courses list","LMS system","Thu Feb 19 04:58:01 UTC 2026","passed","Thu Feb 19 04:58:02 UTC 2026","Courses","Courses","",""
"","2633","Registration with correct email, username and password","LMS system","Thu Feb 19 04:57:55 UTC 2026","passed","Thu Feb 19 04:57:57 UTC 2026","Registration","Authentication","",""
"","5738","Edit course","LMS system","Thu Feb 19 04:58:17 UTC 2026","passed","Thu Feb 19 04:58:23 UTC 2026","Courses","Courses","",""
"","1437","Check displaying of empty courses list","LMS system","Thu Feb 19 04:58:04 UTC 2026","passed","Thu Feb 19 04:58:06 UTC 2026","Courses","Courses","",""
"","2335","Registration with correct email, username and password","LMS system","Thu Feb 19 04:58:01 UTC 2026","passed","Thu Feb 19 04:58:03 UTC 2026","Registration","Authentication","",""
"","2620","Create course","LMS system","Thu Feb 19 04:58:13 UTC 2026","passed","Thu Feb 19 04:58:15 UTC 2026","Courses","Courses","",""
"","1742","Check displaying of dashboard page","LMS system","Thu Feb 19 04:58:28 UTC 2026","passed","Thu Feb 19 04:58:29 UTC 2026","Dashboard","Dashboard","",""
"","2195","User login with wrong email or password","LMS system","Thu Feb 19 04:57:32 UTC 2026","passed","Thu Feb 19 04:57:34 UTC 2026","Authorization","Authentication","",""
"","2353","Check displaying of dashboard page","LMS system","Thu Feb 19 04:58:24 UTC 2026","passed","Thu Feb 19 04:58:26 UTC 2026","Dashboard","Dashboard","",""
"","1683","User login with wrong email or password","LMS system","Thu Feb 19 04:57:42 UTC 2026","passed","Thu Feb 19 04:57:44 UTC 2026","Authorization","Authentication","",""
"","1939","User login with wrong email or password","LMS system","Thu Feb 19 04:57:31 UTC 2026","passed","Thu Feb 19 04:57:33 UTC 2026","Authorization","Authentication","",""
"","3138","User login with correct email and password","LMS system","Thu Feb 19 04:57:45 UTC 2026","passed","Thu Feb 19 04:57:48 UTC 2026","Authorization","Authentication","",""
"","1593","Navigation from login page to registration page","LMS system","Thu Feb 19 04:57:45 UTC 2026","passed","Thu Feb 19 04:57:47 UTC 2026","Authorization","Authentication","",""
"","1909","User login with wrong email or password","LMS system","Thu Feb 19 04:57:28 UTC 2026","passed","Thu Feb 19 04:57:30 UTC 2026","Authorization","Authentication","",""
"","2215","Registration with correct email, username and password","LMS system","Thu Feb 19 04:57:51 UTC 2026","passed","Thu Feb 19 04:57:54 UTC 2026","Registration","Authentication","",""
"","2043","User login with wrong email or password","LMS system","Thu Feb 19 04:57:28 UTC 2026","passed","Thu Feb 19 04:57:30 UTC 2026","Authorization","Authentication","",""
"","10524","User login with correct email and password","LMS system","Thu Feb 19 04:57:49 UTC 2026","passed","Thu Feb 19 04:57:59 UTC 2026","Authorization","Authentication","",""
"","3447","User login with correct email and password","LMS system","Thu Feb 19 04:57:38 UTC 2026","passed","Thu Feb 19 04:57:42 UTC 2026","Authorization","Authentication","",""
"","2549","Create course","LMS system","Thu Feb 19 04:58:08 UTC 2026","passed","Thu Feb 19 04:58:10 UTC 2026","Courses","Courses","",""
"","1732","User login with wrong email or password","LMS system","Thu Feb 19 04:57:24 UTC 2026","passed","Thu Feb 19 04:57:26 UTC 2026","Authorization","Authentication","",""
"","3827","Edit course","LMS system","Thu Feb 19 04:58:18 UTC 2026","passed","Thu Feb 19 04:58:22 UTC 2026","Courses","Courses","",""
"","1849","Navigation from login page to registration page","LMS system","Thu Feb 19 04:57:43 UTC 2026","passed","Thu Feb 19 04:57:45 UTC 2026","Authorization","Authentication","",""
"","2139","Check displaying of dashboard page","LMS system","Thu Feb 19 04:58:24 UTC 2026","passed","Thu Feb 19 04:58:26 UTC 2026","Dashboard","Dashboard","",""
"","1564","Navigation from login page to registration page","LMS system","Thu Feb 19 04:57:49 UTC 2026","passed","Thu Feb 19 04:57:50 UTC 2026","Authorization","Authentication","",""
"","1500","User login with wrong email or password","LMS system","Thu Feb 19 04:57:26 UTC 2026","passed","Thu Feb 19 04:57:28 UTC 2026","Authorization","Authentication","",""
"","1814","Check displaying of empty courses list","LMS system","Thu Feb 19 04:58:07 UTC 2026","passed","Thu Feb 19 04:58:09 UTC 2026","Courses","Courses","",""
